"Title","Authors","Journal","Year"
"Pyramid vision transformer: A versatile backbone for dense prediction without convolutions","W Wang, E Xie, X Li, DP Fan, K Song - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Model-contrastive federated learning","Q Li, B He, D Song -  of the IEEE/CVF conference on , 2021 - openaccess.thecvf.com","¡¦ of the IEEE/CVF conference on ¡¦","2021"
"Dynamic head: Unifying object detection heads with attentions","X Dai, Y Chen, B Xiao, D Chen, M Liu - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Training spiking neural networks using lessons from deep learning","JK Eshraghian, M Ward, EO Neftci - Proceedings of the , 2023 - ieeexplore.ieee.org","Proceedings of the ¡¦","2023"
"Perceiver: General perception with iterative attention","A Jaegle, F Gimeno, A Brock - International , 2021 - proceedings.mlr.press","International ¡¦","2021"
"You only look one-level feature","Q Chen, Y Wang, T Yang, X Zhang - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Resolution-robust large mask inpainting with fourier convolutions","R Suvorov, E Logacheva, A Mashikhin - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"How to train your vit? data, augmentation, and regularization in vision transformers","A Steiner, A Kolesnikov, X Zhai, R Wightman - arXiv preprint arXiv , 2021 - arxiv.org","arXiv preprint arXiv ¡¦","2021"
"Cliport: What and where pathways for robotic manipulation","M Shridhar, L Manuelli, D Fox - Conference on Robot , 2022 - proceedings.mlr.press","Conference on Robot ¡¦","2022"
"Contrastive learning for compact single image dehazing","H Wu, Y Qu, S Lin, J Zhou, R Qiao - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Toward causal representation learning","B Schölkopf, F Locatello, S Bauer, NR Ke - Proceedings of the , 2021 - ieeexplore.ieee.org","Proceedings of the ¡¦","2021"
"Channel-wise topology refinement graph convolution for skeleton-based action recognition","Y Chen, Z Zhang, C Yuan, B Li - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Transunet: Transformers make strong encoders for medical image segmentation","J Chen, Y Lu, Q Yu, X Luo, E Adeli, Y Wang - arXiv preprint arXiv , 2021 - arxiv.org","arXiv preprint arXiv ¡¦","2021"
"Medical transformer: Gated axial-attention for medical image segmentation","JMJ Valanarasu, P Oza, I Hacihaliloglu - Medical Image Computing , 2021 - Springer","Medical Image Computing ¡¦","2021"
"Vilt: Vision-and-language transformer without convolution or region supervision","W Kim, B Son, I Kim - International Conference on Machine , 2021 - proceedings.mlr.press","International Conference on Machine ¡¦","2021"
"Resnet strikes back: An improved training procedure in timm","R Wightman, H Touvron, H Jégou - arXiv preprint arXiv:2110.00476, 2021 - arxiv.org","arXiv preprint arXiv:2110.00476","2021"
"Deep neural networks and tabular data: A survey","V Borisov, T Leemann, K Se©¬ler, J Haug -  on Neural Networks , 2022 - ieeexplore.ieee.org","¡¦ on Neural Networks ¡¦","2022"
"Transformer meets tracker: Exploiting temporal context for robust visual tracking","N Wang, W Zhou, J Wang, H Li - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Multi-stage progressive image restoration","SW Zamir, A Arora, S Khan, M Hayat - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Semi-supervised semantic segmentation using unreliable pseudo-labels","Y Wang, H Wang, Y Shen, J Fei, W Li - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Observation-centric sort: Rethinking sort for robust multi-object tracking","J Cao, J Pang, X Weng - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"Domain generalization: A survey","K Zhou, Z Liu, Y Qiao, T Xiang - IEEE Transactions on , 2022 - ieeexplore.ieee.org","IEEE Transactions on ¡¦","2022"
"Tokens-to-token vit: Training vision transformers from scratch on imagenet","L Yuan, Y Chen, T Wang, W Yu, Y Shi - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Bottleneck transformers for visual recognition","A Srinivas, TY Lin, N Parmar, J Shlens - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Conceptual 12m: Pushing web-scale image-text pre-training to recognize long-tail visual concepts","S Changpinyo, P Sharma, N Ding - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Multi-game decision transformers","KH Lee, O Nachum, MS Yang, L Lee - Advances in , 2022 - proceedings.neurips.cc","Advances in ¡¦","2022"
"Classification of skin disease using deep learning neural networks with MobileNet V2 and LSTM","PN Srinivasu, JG SivaSai, MF Ijaz, AK Bhoi, W Kim - Sensors, 2021 - mdpi.com","Sensors","2021"
"Transreid: Transformer-based object re-identification","S He, H Luo, P Wang, F Wang, H Li - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Ibrnet: Learning multi-view image-based rendering","Q Wang, Z Wang, K Genova - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Pointclip: Point cloud understanding by clip","R Zhang, Z Guo, W Zhang, K Li - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Extract free dense labels from clip","C Zhou, CC Loy, B Dai - European Conference on Computer Vision, 2022 - Springer","European Conference on Computer Vision","2022"
"Towards total recall in industrial anomaly detection","K Roth, L Pemula, J Zepeda - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Rethinking bisenet for real-time semantic segmentation","M Fan, S Lai, J Huang, X Wei, Z Chai - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Vitae: Vision transformer advanced by exploring intrinsic inductive bias","Y Xu, Q Zhang, J Zhang, D Tao - Advances in neural , 2021 - proceedings.neurips.cc","Advances in neural ¡¦","2021"
"Ast: Audio spectrogram transformer","Y Gong, YA Chung, J Glass - arXiv preprint arXiv:2104.01778, 2021 - arxiv.org","arXiv preprint arXiv:2104.01778","2021"
"Focal self-attention for local-global interactions in vision transformers","J Yang, C Li, P Zhang, X Dai, B Xiao, L Yuan - arXiv preprint arXiv , 2021 - arxiv.org","arXiv preprint arXiv ¡¦","2021"
"Incorporating convolution designs into visual transformers","K Yuan, S Guo, Z Liu, A Zhou - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Designing an encoder for stylegan image manipulation","O Tov, Y Alaluf, Y Nitzan, O Patashnik - ACM Transactions on , 2021 - dl.acm.org","ACM Transactions on ¡¦","2021"
"Repvgg: Making vgg-style convnets great again","X Ding, X Zhang, N Ma, J Han - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
