"Title","Authors","Journal","Year"
"Learning texture transformer network for image super-resolution","F Yang, H Yang, J Fu, H Lu - Proceedings of the IEEE , 2020 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2020"
"A survey on neural speech synthesis","X Tan, T Qin, F Soong, TY Liu - arXiv preprint arXiv:2106.15561, 2021 - arxiv.org","arXiv preprint arXiv:2106.15561","2021"
"Object-centric learning with slot attention","F Locatello, D Weissenborn - Advances in , 2020 - proceedings.neurips.cc","Advances in ¡¦","2020"
"Weakly supervised object localization and detection: A survey","D Zhang, J Han, G Cheng - IEEE transactions on , 2021 - ieeexplore.ieee.org","IEEE transactions on ¡¦","2021"
"AI applications to medical images: From machine learning to deep learning","I Castiglioni, L Rundo, M Codari, G Di Leo, C Salvatore - Physica Medica, 2021 - Elsevier","Physica Medica","2021"
"Spatial-phase shallow learning: rethinking face forgery detection in frequency domain","H Liu, X Li, W Zhou, Y Chen, Y He - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"A review of deep learning in medical imaging: Imaging traits, technology trends, case studies with progress highlights, and future promises","SK Zhou, H Greenspan, C Davatzikos - Proceedings of the , 2021 - ieeexplore.ieee.org","Proceedings of the ¡¦","2021"
"Machine learning in additive manufacturing: State-of-the-art and perspectives","C Wang, XP Tan, SB Tor, CS Lim - Additive Manufacturing, 2020 - Elsevier","Additive Manufacturing","2020"
"Ensemble distillation for robust model fusion in federated learning","T Lin, L Kong, SU Stich, M Jaggi - Advances in Neural , 2020 - proceedings.neurips.cc","Advances in Neural ¡¦","2020"
"Machine learning and applications in ultrafast photonics","G Genty, L Salmela, JM Dudley, D Brunner - Nature , 2021 - nature.com","Nature ¡¦","2021"
"Gligen: Open-set grounded text-to-image generation","Y Li, H Liu, Q Wu, F Mu, J Yang - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"Plant disease detection and classification by deep learning—a review","L Li, S Zhang, B Wang - IEEE Access, 2021 - ieeexplore.ieee.org","IEEE Access","2021"
"Contrastive representation learning: A framework and review","PH Le-Khac, G Healy, AF Smeaton - Ieee Access, 2020 - ieeexplore.ieee.org","Ieee Access","2020"
"Artificial intelligence and COVID-19: deep learning approaches for diagnosis and treatment","M Jamshidi, A Lalbakhsh, J Talla, Z Peroutka - Ieee , 2020 - ieeexplore.ieee.org","Ieee ¡¦","2020"
"Closed-form factorization of latent semantics in gans","Y Shen, B Zhou - Proceedings of the IEEE/CVF conference , 2021 - openaccess.thecvf.com","Proceedings of the IEEE/CVF conference ¡¦","2021"
" Ai-based modeling: Techniques, applications and research issues towards automation, intelligent and smart systems","IH Sarker - SN Computer Science, 2022 - Springer","SN Computer Science","2022"
"Multiple knowledge representation for big data artificial intelligence: framework, applications, and case studies","Y Yang, Y Zhuang, Y Pan - Frontiers of Information Technology & , 2021 - Springer","Frontiers of Information Technology & ¡¦","2021"
"Graph self-supervised learning: A survey","Y Liu, M Jin, S Pan, C Zhou, Y Zheng -  on Knowledge and , 2022 - ieeexplore.ieee.org","¡¦ on Knowledge and ¡¦","2022"
"Differentiable augmentation for data-efficient gan training","S Zhao, Z Liu, J Lin, JY Zhu - Advances in neural , 2020 - proceedings.neurips.cc","Advances in neural ¡¦","2020"
"Single image super-resolution via a holistic attention network","B Niu, W Wen, W Ren, X Zhang, L Yang - Computer Vision–ECCV , 2020 - Springer","Computer Vision–ECCV ¡¦","2020"
"A survey on deep semi-supervised learning","X Yang, Z Song, I King, Z Xu - IEEE Transactions on , 2022 - ieeexplore.ieee.org","IEEE Transactions on ¡¦","2022"
"Can deep learning beat numerical weather prediction?","MG Schultz, C Betancourt, B Gong -  of the Royal , 2021 - royalsocietypublishing.org","¡¦ of the Royal ¡¦","2021"
"Cross-modal contrastive learning for text-to-image generation","H Zhang, JY Koh, J Baldridge - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
